Date,Open,High,Low,Close,Adj Close,Volume
4/13/2021,338.2399902,341.0799866,338.019989,340.6000061,335.4450073,30374000
4/14/2021,340.8500061,340.980011,335.6700134,336.5100098,331.4169922,42564300
4/15/2021,339.4700012,342.0100098,336.2200012,341.6099854,336.4397278,36342800
4/16/2021,342.1499939,342.230011,340.0799866,342.0100098,336.8337402,40860100
4/19/2021,340.3900146,341.5799866,336.8999939,338.8800049,333.7510986,34533100
4/20/2021,338.2000122,339.519989,334.3800049,336.4100037,331.3184509,38081800
4/21/2021,335.0899963,339.480011,333.9700012,339.2900085,334.1548767,36598100
4/22/2021,338.8900146,339.8999939,334.0100098,335.2000122,330.1268005,45936100
4/23/2021,335.8500061,340.769989,335.8500061,339.4200134,334.2829285,36381900
4/26/2021,339.6700134,341.9200134,338.8999939,341.6300049,336.4594727,30812000
4/27/2021,341.9299927,342.1499939,339.1700134,340.1499939,335.0018311,33187200
4/28/2021,339.8099976,340.8500061,338.3299866,339,333.8692932,33615700
4/29/2021,342.3699951,342.7999878,336.8999939,340.2200012,335.0707703,37708900
4/30/2021,337.7000122,340.2600098,337.0499878,337.9899902,332.8745728,38263400
5/3/2021,339.230011,340,335.730011,336.1900024,331.1018372,29729700
5/4/2021,333.5599976,333.8900146,326.2099915,330.1400146,325.1433716,65147000
5/5/2021,332.25,333.1400146,328.230011,329.0299988,324.0501404,46219300
5/6/2021,328.7600098,331.6700134,326.4500122,331.5100098,326.4926453,46814300
5/7/2021,334.3699951,336.6499939,331.6900024,334.2000122,329.1419373,53324500
5/10/2021,332.7799988,332.9599915,325.5499878,325.7600098,320.8296814,60700500
5/11/2021,319.7000122,326.1300049,319.019989,325.3099976,320.3864441,71963600
5/12/2021,320.230011,322.6199951,316,316.8900146,312.0938721,91164900
5/13/2021,319.9200134,322.3999939,316.8999939,319.3399963,314.5067749,69877800
5/14/2021,322.6000061,327.3299866,322.0799866,326.3900146,321.4501343,44370000
5/17/2021,324.6300049,326.3699951,321.4500122,324.4100037,319.500061,39395000
5/18/2021,325.3900146,326.6499939,321.9400024,322.2200012,317.3432312,36528500
5/19/2021,316.6600037,322.8999939,316.2999878,322.5899963,317.7076416,66319100
5/20/2021,324.1199951,329.7099915,323.8900146,328.8299866,323.8531189,46466100
5/21/2021,330.4299927,330.8599854,326.6400146,327.0100098,322.0606995,50330400
5/24/2021,329.3699951,333.6700134,326.8999939,332.5100098,327.4774475,32475800
5/25/2021,334.0700073,334.8099976,331.7600098,332.9700012,327.9305725,31280300
5/26/2021,333.6600037,334.6099854,332.9500122,334.1300049,329.072998,25444900
5/27/2021,333.6700134,334.5400085,332.6700134,332.8800049,327.8418884,27931700
5/28/2021,334.1199951,335.5700073,333.6000061,333.9299927,328.875946,29927400
6/1/2021,335.2999878,335.7900085,331.4299927,332.8200073,327.7827759,31145400
6/2/2021,333.25,334.3399963,331.7000122,333.4700012,328.4229126,22047900
6/3/2021,330.5499878,331.8599854,328.2799988,330,325.0054626,37057800
6/4/2021,331.8500061,336.0599976,331.7799988,335.6000061,330.5206909,38736500
6/7/2021,335.0499878,336.6600037,334.3399963,336.6000061,331.5056152,32611900
6/8/2021,338.3999939,339.2900085,335.0299988,336.7600098,331.663147,27282800
6/9/2021,338.1700134,338.9700012,336.6499939,336.8399963,331.7419434,21485300
6/10/2021,337.1900024,340.4599915,336.730011,340.3500061,335.198822,33702100
6/11/2021,340.3599854,341.25,339.6900024,341.2399902,336.0753174,21222800
6/14/2021,341.6799927,344.519989,340.4599915,344.5100098,339.2958984,27827700
6/15/2021,344.1499939,344.4700012,341.519989,342.2600098,337.0799255,35963800
6/16/2021,342.7399902,343.8399963,337.4500122,341.0100098,335.8488159,55399500
6/17/2021,339.9700012,346.3800049,339.9200134,345.3399963,340.1133118,59722700
6/18/2021,343.6300049,344.8099976,341.8599854,342.6300049,337.4443054,55414900
6/21/2021,342.4299927,344.6900024,340.1499939,344.3599854,339.5415649,32992600
6/22/2021,344.1499939,348.0299988,343.8399963,347.5700073,342.7066345,28941600
6/23/2021,347.5100098,348.9200134,346.8800049,347.7399902,342.8742371,27188500
6/24/2021,349.730011,351.4599915,349.1700134,349.8900146,344.9942017,32581600
